partida,jugador,puntaje,vidas,respuestas,porcentaje_aciertos,clasificacion,resultado
1,Simulado A,80,0,10,70.00,Bueno,derrota
2,Simulado B,115,0,12,75.00,Bueno,derrota
3,Simulado C,120,0,12,75.00,Bueno,derrota
4,Simulado D,135,0,13,76.92,Bueno,derrota
5,Simulado E,175,0,15,80.00,Excelente,derrota
6,Simulado F,100,0,11,72.73,Bueno,derrota
7,Simulado G,135,0,13,76.92,Bueno,derrota
8,Simulado H,45,0,7,57.14,En proceso,derrota
9,Simulado I,120,0,12,75.00,Bueno,derrota
10,Simulado J,20,0,5,40.00,En proceso,derrota
